SaleID,CustomerID,ProductID,SaleDate,Quantity,UnitPrice,TotalPrice,PaymentMethod,Discount,SalesRepID,StoreID
31,189,231,2024-07-01,1,150,150,Credit Card,0.0,331,3
32,103,232,2024-07-02,3,40,120,Cash,0.0,332,2
33,49,233,2024-07-03,2,110,220,Credit Card,0.05,333,1
34,166,234,2024-07-04,4,30,120,Cash,0.0,334,3
35,178,235,2024-07-05,1,70,70,Credit Card,0.0,335,2
36,90,236,2024-07-06,5,50,250,Cash,0.0,336,1
37,48,237,2024-07-07,2,90,180,Credit Card,0.1,337,3
38,63,238,2024-07-08,1,130,130,Cash,0.0,338,2
39,69,239,2024-07-09,3,60,180,Credit Card,0.0,339,1
40,100,240,2024-07-10,4,45,180,Cash,0.0,340,3
41,135,241,2024-07-11,1,100,100,Credit Card,0.0,341,2
42,143,242,2024-07-12,2,75,150,Cash,0.0,342,1
43,184,243,2024-07-13,3,80,240,Credit Card,0.05,343,3
44,51,244,2024-07-14,1,150,150,Cash,0.0,344,2
45,19,245,2024-07-15,2,110,220,Credit Card,0.0,345,1
46,153,246,2024-07-16,5,40,200,Cash,0.0,346,3
47,36,247,2024-07-17,1,65,65,Credit Card,0.0,347,2
48,59,248,2024-07-18,3,95,285,Cash,0.1,348,1
49,175,249,2024-07-19,2,120,240,Credit Card,0.0,349,3
50,14,250,2024-07-20,1,80,80,Cash,0.0,350,2
51,60,251,2024-07-21,4,55,220,Credit Card,0.0,301,1
52,87,252,2024-07-22,2,85,170,Cash,0.0,302,3
53,5,253,2024-07-23,1,140,140,Credit Card,0.0,303,2
54,115,254,2024-07-24,3,65,195,Cash,0.0,304,1
55,172,255,2024-07-25,5,30,150,Credit Card,0.05,305,3
56,13,256,2024-07-26,1,110,110,Cash,0.0,306,2
57,29,257,2024-07-27,2,75,150,Credit Card,0.0,307,1
58,17,258,2024-07-28,3,90,270,Cash,0.0,308,3
59,12,259,2024-07-29,1,160,160,Credit Card,0.1,309,2
60,156,260,2024-07-30,4,40,160,Cash,0.0,310,1
61,84,261,2024-07-31,2,120,240,Credit Card,0.0,311,3
62,120,262,2024-08-01,1,85,85,Cash,0.0,312,2
63,156,263,2024-08-02,3,100,300,Credit Card,0.0,313,1
64,9,264,2024-08-03,1,150,150,Cash,0.05,314,3
65,91,265,2024-08-04,2,70,140,Credit Card,0.0,315,2
66,136,266,2024-08-05,5,45,225,Cash,0.0,316,1
67,111,267,2024-08-06,1,110,110,Credit Card,0.0,317,3
68,39,268,2024-08-07,2,95,190,Cash,0.1,318,2
69,20,269,2024-08-08,3,80,240,Credit Card,0.0,319,1
70,48,270,2024-08-09,4,60,240,Cash,0.0,320,3
71,29,271,2024-08-10,1,130,130,Credit Card,0.0,321,2
72,128,272,2024-08-11,2,45,90,Cash,0.0,322,1
73,89,273,2024-08-12,3,70,210,Credit Card,0.0,323,3
74,4,274,2024-08-13,1,160,160,Cash,0.05,324,2
75,41,275,2024-08-14,5,30,150,Credit Card,0.0,325,1
76,156,276,2024-08-15,2,110,220,Cash,0.0,326,3
77,174,277,2024-08-16,1,75,75,Credit Card,0.0,327,2
78,36,278,2024-08-17,4,55,220,Cash,0.0,328,1
79,162,279,2024-08-18,2,90,180,Credit Card,0.1,329,3
80,35,280,2024-08-19,1,130,130,Cash,0.0,330,2
81,173,281,2024-08-20,3,60,180,Credit Card,0.0,331,1
82,22,282,2024-08-21,1,100,100,Cash,0.0,332,3
83,151,283,2024-08-22,2,75,150,Credit Card,0.05,333,2
84,138,284,2024-08-23,3,80,240,Cash,0.0,334,1
85,73,285,2024-08-24,1,150,150,Credit Card,0.0,335,3
86,110,286,2024-08-25,2,110,220,Cash,0.0,336,2
87,28,287,2024-08-26,5,40,200,Credit Card,0.0,337,1
88,46,288,2024-08-27,1,65,65,Cash,0.0,338,3
89,52,289,2024-08-28,3,95,285,Credit Card,0.1,339,2
90,196,290,2024-08-29,2,120,240,Cash,0.0,340,1
91,15,291,2024-08-30,1,80,80,Credit Card,0.0,341,3
92,19,292,2024-08-31,4,55,220,Cash,0.0,342,2
93,180,293,2024-09-01,2,85,170,Credit Card,0.0,343,1
94,112,294,2024-09-02,1,140,140,Cash,0.05,344,3
95,155,295,2024-09-03,3,65,195,Credit Card,0.0,345,2
96,38,296,2024-09-04,5,30,150,Cash,0.0,346,1
97,85,297,2024-09-05,1,110,110,Credit Card,0.0,347,3
98,11,298,2024-09-06,2,75,150,Cash,0.0,348,2
99,2,299,2024-09-07,3,90,270,Credit Card,0.0,349,1
100,199,300,2024-09-08,1,160,160,Cash,0.1,350,3
101,107,301,2024-09-09,4,40,160,Credit Card,0.0,301,2
102,116,302,2024-09-10,2,120,240,Cash,0.0,302,1
103,110,303,2024-09-11,1,85,85,Credit Card,0.0,303,3
104,14,304,2024-09-12,3,100,300,Cash,0.0,304,2
105,181,305,2024-09-13,5,70,350,Credit Card,0.05,305,1
106,144,306,2024-09-14,1,110,110,Cash,0.0,306,3
107,170,307,2024-09-15,2,75,150,Credit Card,0.0,307,2
108,153,308,2024-09-16,3,90,270,Cash,0.0,308,1
109,139,309,2024-09-17,1,160,160,Credit Card,0.1,309,3
110,186,310,2024-09-18,4,40,160,Cash,0.0,310,2
111,198,311,2024-09-19,2,120,240,Credit Card,0.0,311,1
112,58,312,2024-09-20,1,85,85,Cash,0.0,312,3
113,88,313,2024-09-21,3,100,300,Credit Card,0.0,313,2
114,145,314,2024-09-22,1,150,150,Cash,0.05,314,1
115,122,315,2024-09-23,2,70,140,Credit Card,0.0,315,3
116,37,316,2024-09-24,5,45,225,Cash,0.0,316,2
117,68,317,2024-09-25,1,110,110,Credit Card,0.0,317,1
118,4,318,2024-09-26,2,95,190,Cash,0.1,318,3
119,77,319,2024-09-27,3,80,240,Credit Card,0.0,319,2
120,98,320,2024-09-28,4,60,240,Cash,0.0,320,1
121,103,321,2024-09-29,1,130,130,Credit Card,0.0,321,3
122,84,322,2024-09-30,2,45,90,Cash,0.0,322,2
123,62,323,2024-10-01,3,70,210,Credit Card,0.0,323,1
124,107,324,2024-10-02,1,160,160,Cash,0.05,324,3
125,129,325,2024-10-03,5,30,150,Credit Card,0.0,325,2
126,111,326,2024-10-04,2,110,220,Cash,0.0,326,1
127,87,327,2024-10-05,1,75,75,Credit Card,0.0,327,3
128,161,328,2024-10-06,4,55,220,Cash,0.0,328,2
129,84,329,2024-10-07,2,90,180,Credit Card,0.1,329,1
130,163,330,2024-10-08,1,130,130,Cash,0.0,330,3
131,87,331,2024-10-09,3,60,180,Credit Card,0.0,331,2
132,130,332,2024-10-10,1,100,100,Cash,0.0,332,1
133,42,333,2024-10-11,2,75,150,Credit Card,0.05,333,3
134,33,334,2024-10-12,3,80,240,Cash,0.0,334,2
135,53,335,2024-10-13,1,150,150,Credit Card,0.0,335,1
136,116,336,2024-10-14,2,110,220,Cash,0.0,336,3
137,80,337,2024-10-15,5,40,200,Credit Card,0.0,337,2
138,36,338,2024-10-16,1,65,65,Cash,0.0,338,1
139,197,339,2024-10-17,3,95,285,Credit Card,0.1,339,3
140,104,340,2024-10-18,2,120,240,Cash,0.0,340,2
141,7,341,2024-10-19,1,80,80,Credit Card,0.0,341,1
142,35,342,2024-10-20,4,55,220,Cash,0.0,342,3
143,62,343,2024-10-21,2,85,170,Credit Card,0.0,343,2
144,46,344,2024-10-22,1,140,140,Cash,0.05,344,1
145,38,345,2024-10-23,3,65,195,Credit Card,0.0,345,3
146,101,346,2024-10-24,5,30,150,Cash,0.0,346,2
147,121,347,2024-10-25,1,110,110,Credit Card,0.0,347,1
148,42,348,2024-10-26,2,75,150,Cash,0.0,348,3
149,90,349,2024-10-27,3,90,270,Credit Card,0.0,349,2
150,149,350,2024-10-28,1,160,160,Cash,0.1,350,1
151,63,351,2024-10-29,4,40,160,Credit Card,0.0,301,3
152,99,352,2024-10-30,2,120,240,Cash,0.0,302,2
153,135,353,2024-10-31,1,85,85,Credit Card,0.0,303,1
154,49,354,2024-11-01,3,100,300,Cash,0.0,304,3
155,75,355,2024-11-02,5,70,350,Credit Card,0.05,305,2
156,93,356,2024-11-03,1,110,110,Cash,0.0,306,1
157,26,357,2024-11-04,2,75,150,Credit Card,0.0,307,3
158,14,358,2024-11-05,3,90,270,Cash,0.0,308,2
159,118,359,2024-11-06,1,160,160,Credit Card,0.1,309,1
160,165,360,2024-11-07,4,40,160,Cash,0.0,310,3
161,3,361,2024-11-08,2,120,240,Credit Card,0.0,311,2
162,148,362,2024-11-09,1,85,85,Cash,0.0,312,1
163,123,363,2024-11-10,3,100,300,Credit Card,0.0,313,3
164,11,364,2024-11-11,1,150,150,Cash,0.05,314,2
165,64,365,2024-11-12,2,70,140,Credit Card,0.0,315,1
166,36,366,2024-11-13,5,45,225,Cash,0.0,316,3
167,178,367,2024-11-14,1,110,110,Credit Card,0.0,317,2
168,192,368,2024-11-15,2,95,190,Cash,0.1,318,1
169,54,369,2024-11-16,3,80,240,Credit Card,0.0,319,3
170,197,370,2024-11-17,1,130,130,Cash,0.0,320,2
171,85,371,2024-11-18,4,60,240,Credit Card,0.0,321,1
172,113,372,2024-11-19,2,45,90,Cash,0.0,322,3
173,169,373,2024-11-20,1,70,70,Credit Card,0.0,323,2
174,88,374,2024-11-21,3,60,180,Cash,0.0,324,1
175,22,375,2024-11-22,1,100,100,Credit Card,0.05,325,3
176,12,376,2024-11-23,5,40,200,Cash,0.0,326,2
177,136,377,2024-11-24,2,110,220,Credit Card,0.0,327,1
178,18,378,2024-11-25,1,75,75,Cash,0.0,328,3
179,109,379,2024-11-26,4,55,220,Credit Card,0.0,329,2
180,19,380,2024-11-27,2,90,180,Cash,0.1,330,1
181,56,381,2024-11-28,1,130,130,Credit Card,0.0,331,3
182,24,382,2024-11-29,3,60,180,Cash,0.0,332,2
183,88,383,2024-11-30,1,100,100,Credit Card,0.05,333,1
184,145,384,2024-12-01,2,75,150,Cash,0.0,334,3
185,177,385,2024-12-02,3,80,240,Credit Card,0.0,335,2
186,10,386,2024-12-03,1,150,150,Cash,0.0,336,1
187,7,387,2024-12-04,2,110,220,Credit Card,0.0,337,3
188,93,388,2024-12-05,5,40,200,Cash,0.0,338,2
189,46,389,2024-12-06,1,65,65,Credit Card,0.0,339,1
190,99,390,2024-12-07,4,95,380,Cash,0.1,340,3
191,195,391,2024-12-08,2,120,240,Credit Card,0.0,341,2
192,105,392,2024-12-09,1,80,80,Cash,0.0,342,1
193,154,393,2024-12-10,3,55,165,Credit Card,0.05,343,3
194,65,394,2024-12-11,1,140,140,Cash,0.0,344,2
195,29,395,2024-12-12,2,65,130,Credit Card,0.0,345,1
196,186,396,2024-12-13,5,30,150,Cash,0.0,346,3
197,131,397,2024-12-14,1,110,110,Credit Card,0.0,347,2
198,181,398,2024-12-15,2,75,150,Cash,0.0,348,1
199,46,399,2024-12-16,3,90,270,Credit Card,0.1,349,3
200,77,400,2024-12-17,1,160,160,Cash,0.0,350,2
